anio,mes,mes_num,dolar_observado_promedio_clp
2022,Enero,1,822.05
2022,Febrero,2,807.07
2022,Marzo,3,799.19
2022,Abril,4,815.12
2022,Mayo,5,849.39
2022,Junio,6,857.77
2022,Julio,7,953.71
2022,Agosto,8,904.35
2022,Septiembre,9,921.01
2022,Octubre,10,955.89
2022,Noviembre,11,917.05
2022,Diciembre,12,875.66
2023,Enero,1,826.34
2023,Febrero,2,798.26
2023,Marzo,3,809.50
2023,Abril,4,803.84
2023,Mayo,5,798.64
2023,Junio,6,799.87
2023,Julio,7,813.40
2023,Agosto,8,855.66
2023,Septiembre,9,884.40
2023,Octubre,10,926.35
2023,Noviembre,11,886.61
2023,Diciembre,12,874.67
2024,Enero,1,907.99
2024,Febrero,2,963.44
2024,Marzo,3,967.93
2024,Abril,4,960.14
2024,Mayo,5,917.88
2024,Junio,6,926.08
2024,Julio,7,937.56
2024,Agosto,8,929.90
2024,Septiembre,9,926.21
2024,Octubre,10,933.81
2024,Noviembre,11,971.60
2024,Diciembre,12,982.30
2025,Enero,1,1000.76
2025,Febrero,2,956.62
2025,Marzo,3,932.55
2025,Abril,4,961.96
2025,Mayo,5,941.01
2025,Junio,6,938.04
2025,Julio,7,951.55
2025,Agosto,8,966.30
2025,Septiembre,9,960.37
2025,Octubre,10,953.97
2025,Noviembre,11,935.70
2025,Diciembre,12,916.16
