desde,hasta,delta_real,delta_aprox,ea_delta,er_delta_pct,concluyente,signo_seguro
2022-01,2022-02,-14.98,-15.00,0.12,0.8,True,True
2022-02,2022-03,-7.88,-8.00,0.26,3.3,True,True
2022-03,2022-04,15.93,16.00,0.31,1.9,True,True
2022-04,2022-05,34.27,34.00,0.51,1.5,True,True
2022-05,2022-06,8.38,9.00,0.62,6.9,True,True
2022-06,2022-07,95.94,96.00,0.52,0.5,True,True
2022-07,2022-08,-49.36,-50.00,0.64,1.3,True,True
2022-08,2022-09,16.66,17.00,0.36,2.1,True,True
2022-09,2022-10,34.88,35.00,0.12,0.3,True,True
2022-10,2022-11,-38.84,-39.00,0.16,0.4,True,True
2022-11,2022-12,-41.39,-41.00,0.39,1.0,True,True
2022-12,2023-01,-49.32,-50.00,0.68,1.4,True,True
2023-01,2023-02,-28.08,-28.00,0.60,2.1,True,True
2023-02,2023-03,11.24,12.00,0.76,6.3,True,True
2023-03,2023-04,-5.66,-6.00,0.66,11.0,True,True
2023-04,2023-05,-5.20,-5.00,0.52,10.4,True,True
2023-05,2023-06,1.23,1.00,0.49,49.0,True,True
2023-06,2023-07,13.53,13.00,0.53,4.1,True,True
2023-07,2023-08,42.26,43.00,0.74,1.7,True,True
2023-08,2023-09,28.74,28.00,0.74,2.6,True,True
2023-09,2023-10,41.95,42.00,0.75,1.8,True,True
2023-10,2023-11,-39.74,-39.00,0.74,1.9,True,True
2023-11,2023-12,-11.94,-12.00,0.72,6.0,True,True
2023-12,2024-01,33.32,33.00,0.34,1.0,True,True
2024-01,2024-02,55.45,55.00,0.45,0.8,True,True
2024-02,2024-03,4.49,5.00,0.51,10.2,True,True
2024-03,2024-04,-7.79,-8.00,0.21,2.6,True,True
2024-04,2024-05,-42.26,-42.00,0.26,0.6,True,True
2024-05,2024-06,8.20,8.00,0.20,2.5,True,True
2024-06,2024-07,11.48,12.00,0.52,4.3,True,True
2024-07,2024-08,-7.66,-8.00,0.54,6.8,True,True
2024-08,2024-09,-3.69,-4.00,0.31,7.8,True,True
2024-09,2024-10,7.60,8.00,0.40,5.0,True,True
2024-10,2024-11,37.79,38.00,0.59,1.6,True,True
2024-11,2024-12,10.70,10.00,0.70,7.0,True,True
2024-12,2025-01,18.46,18.00,1.06,5.9,True,True
2025-01,2025-02,-44.14,-43.00,1.14,2.7,True,True
2025-02,2025-03,-24.07,-24.00,0.83,3.5,True,True
2025-03,2025-04,29.41,29.00,0.49,1.7,True,True
2025-04,2025-05,-20.95,-21.00,0.05,0.2,True,True
2025-05,2025-06,-2.97,-3.00,0.05,1.7,True,True
2025-06,2025-07,13.51,14.00,0.49,3.5,True,True
2025-07,2025-08,14.75,14.00,0.75,5.4,True,True
2025-08,2025-09,-5.93,-6.00,0.67,11.2,True,True
2025-09,2025-10,-6.40,-6.00,0.40,6.7,True,True
2025-10,2025-11,-18.27,-18.00,0.33,1.8,True,True
2025-11,2025-12,-19.54,-20.00,0.46,2.3,True,True
