sig,compra_real,venta_real,compra_aprox,venta_aprox,ea_compra,ea_venta,er_compra,er_venta,usd,pesos_final,ganancia,ea_ganancia,er_ganancia_pct,rent_pct,descripcion
2,798.26,1000.76,800.0,1000.0,1.74,0.76,0.218,0.076,1250.00,1250000.00,250000.00,3673.95,1.5,25.00,min(Feb23)->max(Ene25)
2,875.66,874.67,880.0,870.0,4.34,4.67,0.496,0.534,1136.36,988636.36,-11363.64,10178.42,89.6,-1.14,dic22->dic23 cancelacion
2,822.05,875.66,820.0,880.0,2.05,4.34,0.249,0.496,1219.51,1073170.73,73170.73,7995.15,10.9,7.32,2022 ene->dic
2,826.34,874.67,830.0,870.0,3.66,4.67,0.443,0.534,1204.82,1048192.77,48192.77,10239.09,21.2,4.82,2023 ene->dic
2,907.99,982.3,910.0,980.0,2.01,2.30,0.221,0.234,1098.90,1076923.08,76923.08,4905.52,6.4,7.69,2024 ene->dic
2,1000.76,916.16,1000.0,920.0,0.76,3.84,0.076,0.419,1000.00,920000.00,-80000.00,4554.76,5.7,-8.00,2025 ene->dic
2,799.19,953.71,800.0,950.0,0.81,3.71,0.101,0.389,1250.00,1187500.00,187500.00,5823.02,3.1,18.75,2022 mar->jul subida grande
3,798.26,1000.76,798.0,1000.0,0.26,0.76,0.033,0.076,1253.13,1253132.83,253132.83,1359.81,0.5,25.31,min(Feb23)->max(Ene25)
3,875.66,874.67,876.0,875.0,0.34,0.33,0.039,0.038,1141.55,998858.45,-1141.55,764.69,67.0,-0.11,dic22->dic23 cancelacion
3,822.05,875.66,822.0,876.0,0.05,0.34,0.006,0.039,1216.55,1065693.43,65693.43,478.61,0.7,6.57,2022 ene->dic
3,826.34,874.67,826.0,875.0,0.34,0.33,0.041,0.038,1210.65,1059322.03,59322.03,835.53,1.4,5.93,2023 ene->dic
3,907.99,982.3,908.0,982.0,0.01,0.30,0.001,0.031,1101.32,1081497.80,81497.80,342.21,0.4,8.15,2024 ene->dic
3,1000.76,916.16,1000.0,916.0,0.76,0.16,0.076,0.017,1000.00,916000.00,-84000.00,855.60,1.0,-8.40,2025 ene->dic
3,799.19,953.71,799.0,954.0,0.19,0.29,0.024,0.030,1251.56,1193992.49,193992.49,646.92,0.3,19.40,2022 mar->jul subida grande
