anio,mes,mes_num,etiqueta,valor_real,valor_aprox,ea,er_pct
2022,Enero,1,2022-01,822.05,822.00,0.0500,0.0061
2022,Febrero,2,2022-02,807.07,807.00,0.0700,0.0087
2022,Marzo,3,2022-03,799.19,799.00,0.1900,0.0238
2022,Abril,4,2022-04,815.12,815.00,0.1200,0.0147
2022,Mayo,5,2022-05,849.39,849.00,0.3900,0.0459
2022,Junio,6,2022-06,857.77,858.00,0.2300,0.0268
2022,Julio,7,2022-07,953.71,954.00,0.2900,0.0304
2022,Agosto,8,2022-08,904.35,904.00,0.3500,0.0387
2022,Septiembre,9,2022-09,921.01,921.00,0.0100,0.0011
2022,Octubre,10,2022-10,955.89,956.00,0.1100,0.0115
2022,Noviembre,11,2022-11,917.05,917.00,0.0500,0.0055
2022,Diciembre,12,2022-12,875.66,876.00,0.3400,0.0388
2023,Enero,1,2023-01,826.34,826.00,0.3400,0.0411
2023,Febrero,2,2023-02,798.26,798.00,0.2600,0.0326
2023,Marzo,3,2023-03,809.50,810.00,0.5000,0.0618
2023,Abril,4,2023-04,803.84,804.00,0.1600,0.0199
2023,Mayo,5,2023-05,798.64,799.00,0.3600,0.0451
2023,Junio,6,2023-06,799.87,800.00,0.1300,0.0163
2023,Julio,7,2023-07,813.40,813.00,0.4000,0.0492
2023,Agosto,8,2023-08,855.66,856.00,0.3400,0.0397
2023,Septiembre,9,2023-09,884.40,884.00,0.4000,0.0452
2023,Octubre,10,2023-10,926.35,926.00,0.3500,0.0378
2023,Noviembre,11,2023-11,886.61,887.00,0.3900,0.0440
2023,Diciembre,12,2023-12,874.67,875.00,0.3300,0.0377
2024,Enero,1,2024-01,907.99,908.00,0.0100,0.0011
2024,Febrero,2,2024-02,963.44,963.00,0.4400,0.0457
2024,Marzo,3,2024-03,967.93,968.00,0.0700,0.0072
2024,Abril,4,2024-04,960.14,960.00,0.1400,0.0146
2024,Mayo,5,2024-05,917.88,918.00,0.1200,0.0131
2024,Junio,6,2024-06,926.08,926.00,0.0800,0.0086
2024,Julio,7,2024-07,937.56,938.00,0.4400,0.0469
2024,Agosto,8,2024-08,929.90,930.00,0.1000,0.0108
2024,Septiembre,9,2024-09,926.21,926.00,0.2100,0.0227
2024,Octubre,10,2024-10,933.81,934.00,0.1900,0.0203
2024,Noviembre,11,2024-11,971.60,972.00,0.4000,0.0412
2024,Diciembre,12,2024-12,982.30,982.00,0.3000,0.0305
2025,Enero,1,2025-01,1000.76,1000.00,0.7600,0.0759
2025,Febrero,2,2025-02,956.62,957.00,0.3800,0.0397
2025,Marzo,3,2025-03,932.55,933.00,0.4500,0.0483
2025,Abril,4,2025-04,961.96,962.00,0.0400,0.0042
2025,Mayo,5,2025-05,941.01,941.00,0.0100,0.0011
2025,Junio,6,2025-06,938.04,938.00,0.0400,0.0043
2025,Julio,7,2025-07,951.55,952.00,0.4500,0.0473
2025,Agosto,8,2025-08,966.30,966.00,0.3000,0.0310
2025,Septiembre,9,2025-09,960.37,960.00,0.3700,0.0385
2025,Octubre,10,2025-10,953.97,954.00,0.0300,0.0031
2025,Noviembre,11,2025-11,935.70,936.00,0.3000,0.0321
2025,Diciembre,12,2025-12,916.16,916.00,0.1600,0.0175
