etiqueta_compra,p_compra_real,p_compra_aprox,etiqueta_venta,p_venta_real,p_venta_aprox,usd,pesos_final,ganancia,ea_ganancia,er_ganancia_pct,rent_pct,ea_rent,solida
2023-02,798.26,798.00,2023-03,809.50,810.00,1253.13,1015037.59,15037.59,957.56,6.4,1.50,0.10,True
2023-02,798.26,798.00,2023-04,803.84,804.00,1253.13,1007518.80,7518.80,528.70,7.0,0.75,0.05,True
2023-02,798.26,798.00,2023-05,798.64,799.00,1253.13,1001253.13,1253.13,777.45,62.0,0.13,0.08,True
2023-02,798.26,798.00,2023-06,799.87,800.00,1253.13,1002506.27,2506.27,489.46,19.5,0.25,0.05,True
2023-02,798.26,798.00,2023-07,813.40,813.00,1253.13,1018796.99,18796.99,832.84,4.4,1.88,0.08,True
2023-02,798.26,798.00,2023-08,855.66,856.00,1253.13,1072681.70,72681.70,775.62,1.1,7.27,0.08,True
2023-02,798.26,798.00,2023-09,884.40,884.00,1253.13,1107769.42,107769.42,861.84,0.8,10.78,0.09,True
2023-02,798.26,798.00,2023-10,926.35,926.00,1253.13,1160401.00,160401.00,816.38,0.5,16.04,0.08,True
2023-02,798.26,798.00,2023-11,886.61,887.00,1253.13,1111528.82,111528.82,850.97,0.8,11.15,0.09,True
2023-02,798.26,798.00,2023-12,874.67,875.00,1253.13,1096491.23,96491.23,770.83,0.8,9.65,0.08,True
2023-02,798.26,798.00,2024-01,907.99,908.00,1253.13,1137844.61,137844.61,383.14,0.3,13.78,0.04,True
2023-02,798.26,798.00,2024-02,963.44,963.00,1253.13,1206766.92,206766.92,944.18,0.5,20.68,0.09,True
2023-02,798.26,798.00,2024-03,967.93,968.00,1253.13,1213032.58,213032.58,482.82,0.2,21.30,0.05,True
2023-02,798.26,798.00,2024-04,960.14,960.00,1253.13,1203007.52,203007.52,567.24,0.3,20.30,0.06,True
2023-02,798.26,798.00,2024-05,917.88,918.00,1253.13,1150375.94,150375.94,525.08,0.3,15.04,0.05,True
2023-02,798.26,798.00,2024-06,926.08,926.00,1253.13,1160401.00,160401.00,478.19,0.3,16.04,0.05,True
2023-02,798.26,798.00,2024-07,937.56,938.00,1253.13,1175438.60,175438.60,934.49,0.5,17.54,0.09,True
2023-02,798.26,798.00,2024-08,929.90,930.00,1253.13,1165413.53,165413.53,504.91,0.3,16.54,0.05,True
2023-02,798.26,798.00,2024-09,926.21,926.00,1253.13,1160401.00,160401.00,641.05,0.4,16.04,0.06,True
2023-02,798.26,798.00,2024-10,933.81,934.00,1253.13,1170426.07,170426.07,619.36,0.4,17.04,0.06,True
2023-02,798.26,798.00,2024-11,971.60,972.00,1253.13,1218045.11,218045.11,898.19,0.4,21.80,0.09,True
2023-02,798.26,798.00,2024-12,982.30,982.00,1253.13,1230576.44,230576.44,776.63,0.3,23.06,0.08,True
2023-02,798.26,798.00,2025-01,1000.76,1000.00,1253.13,1253132.83,253132.83,1359.81,0.5,25.31,0.14,True
2023-02,798.26,798.00,2025-02,956.62,957.00,1253.13,1199248.12,199248.12,866.98,0.4,19.92,0.09,True
2023-02,798.26,798.00,2025-03,932.55,933.00,1253.13,1169172.93,169172.93,944.99,0.6,16.92,0.09,True
2023-02,798.26,798.00,2025-04,961.96,962.00,1253.13,1205513.78,205513.78,442.77,0.2,20.55,0.04,True
2023-02,798.26,798.00,2025-05,941.01,941.00,1253.13,1179197.99,179197.99,396.61,0.2,17.92,0.04,True
2023-02,798.26,798.00,2025-06,938.04,938.00,1253.13,1175438.60,175438.60,432.97,0.2,17.54,0.04,True
2023-02,798.26,798.00,2025-07,951.55,952.00,1253.13,1192982.46,192982.46,952.74,0.5,19.30,0.10,True
2023-02,798.26,798.00,2025-08,966.30,966.00,1253.13,1210526.32,210526.32,770.10,0.4,21.05,0.08,True
2023-02,798.26,798.00,2025-09,960.37,960.00,1253.13,1203007.52,203007.52,855.31,0.4,20.30,0.09,True
2023-02,798.26,798.00,2025-10,953.97,954.00,1253.13,1195488.72,195488.72,426.98,0.2,19.55,0.04,True
2023-02,798.26,798.00,2025-11,935.70,936.00,1253.13,1172932.33,172932.33,758.09,0.4,17.29,0.08,True
2023-02,798.26,798.00,2025-12,916.16,916.00,1253.13,1147869.67,147869.67,574.34,0.4,14.79,0.06,True
